MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
5,1,90000,2,0,5,1,0,2,2,50,1
5,1,60000,3,3,5,0,1,1,2,51,1
5,1,60000,3,3,5,1,1,5,2,51,1
5,2,70000,0,0,5,0,1,10,2,49,1
5,2,80000,5,5,5,1,4,2,2,48,1
5,1,70000,0,0,5,1,1,10,2,51,1
5,2,70000,0,0,5,1,1,10,2,51,1
5,1,60000,3,3,5,1,2,1,2,52,1
5,2,60000,4,4,5,1,3,20,2,52,1
5,1,70000,0,0,5,0,1,10,2,52,1
5,2,70000,0,0,5,0,1,10,2,53,1
5,1,60000,4,4,5,1,4,20,2,53,1
5,2,100000,2,0,5,1,2,2,1,49,0
5,1,100000,2,0,5,1,3,1,1,48,0
5,2,100000,3,0,5,0,3,2,1,48,0
3,2,30000,0,0,3,0,1,10,1,38,1
3,1,30000,0,0,3,1,1,10,1,37,1
1,2,20000,4,0,1,1,2,10,2,72,1
3,1,30000,2,0,3,1,2,10,2,72,1
1,1,40000,0,0,1,0,2,10,1,39,0
1,1,40000,0,0,1,0,2,2,1,38,1
3,2,40000,0,0,3,0,1,2,1,38,1
3,1,40000,0,0,3,1,1,10,1,38,1
3,1,40000,0,0,3,1,1,2,1,38,0
3,1,60000,0,0,3,1,2,10,1,38,0
2,1,10000,2,1,2,1,2,2,2,71,1
3,1,30000,2,0,3,0,2,2,2,70,1
3,1,30000,2,0,3,1,2,10,2,70,1
3,2,30000,2,0,3,1,2,2,2,70,1
3,1,30000,2,0,3,1,2,2,2,70,1
2,2,10000,2,1,2,1,2,2,2,70,1
1,2,20000,4,0,1,1,2,2,2,69,1
1,2,20000,4,0,1,1,2,2,2,69,1
1,1,20000,4,0,1,1,2,10,2,69,1
1,2,20000,4,0,1,1,2,10,2,69,1
2,2,10000,2,1,2,1,2,2,2,69,1
3,2,60000,0,0,3,1,2,2,1,38,1
2,2,40000,0,0,2,0,2,10,1,39,1
2,2,10000,2,1,2,1,2,10,2,68,1
3,1,30000,3,0,3,1,2,10,2,68,1
3,1,30000,0,0,3,1,2,2,1,39,1
3,2,60000,0,0,3,1,2,2,1,39,1
3,2,70000,0,0,3,1,2,1,1,39,1
3,1,60000,0,0,3,1,2,10,1,41,0
2,1,20000,2,1,2,1,2,2,2,67,1
1,1,30000,3,0,1,0,2,2,2,66,0
1,2,30000,3,0,1,1,2,10,2,66,1
1,2,30000,3,0,1,0,2,2,2,67,1
1,1,30000,3,0,1,1,2,10,2,66,1
2,2,40000,0,0,2,1,2,10,1,36,0
1,1,30000,3,0,1,1,2,10,2,65,1
1,1,30000,3,0,1,0,2,2,2,65,0
3,2,40000,2,0,3,0,2,10,2,65,1
3,2,60000,0,0,3,0,2,2,1,36,1
3,2,40000,2,0,3,1,2,10,2,65,1
3,1,40000,2,0,3,1,2,10,2,65,1
3,2,40000,3,0,3,1,2,10,2,63,1
4,1,70000,2,0,4,1,2,2,2,63,1
3,1,80000,2,0,3,1,2,2,2,62,1
3,2,80000,2,0,3,1,2,10,2,62,0
3,1,80000,2,0,3,1,2,10,2,62,1
3,1,80000,2,0,3,1,2,10,2,63,1
1,1,40000,0,0,1,1,2,10,1,41,1
1,2,40000,0,0,1,1,2,10,1,41,1
1,1,40000,0,0,1,1,2,10,1,41,1
3,2,60000,0,0,3,0,2,2,1,43,0
3,2,70000,0,0,3,1,2,10,1,43,0
3,1,60000,0,0,3,1,2,10,1,40,0
1,2,80000,2,0,1,1,2,10,2,61,0
1,2,80000,2,0,1,0,2,2,2,61,1
1,1,80000,2,0,1,1,2,10,2,61,1
1,2,80000,2,0,1,1,2,10,2,61,0
1,2,80000,2,0,1,0,2,2,2,62,1
1,2,70000,2,0,1,1,2,10,2,60,0
1,1,70000,2,0,1,1,2,10,2,60,0
1,2,80000,2,0,1,1,2,10,2,59,1
1,1,80000,2,0,1,1,2,10,2,59,1
1,2,80000,2,0,1,0,2,2,2,59,1
1,2,40000,0,0,1,0,2,2,1,43,0
