MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
5,1,9,2,0,5,1,0,2,2,5,1
5,1,6,3,3,5,0,1,1,2,4,1
5,1,6,3,3,5,1,1,5,2,4,1
5,2,7,0,0,5,0,1,10,2,5,1
5,2,8,5,5,5,1,4,2,2,5,1
5,1,7,0,0,5,1,1,10,2,4,1
5,2,7,0,0,5,1,1,10,2,4,1
5,1,6,3,3,5,1,2,1,2,4,1
5,2,6,4,4,5,1,3,20,2,4,1
5,1,7,0,0,5,0,1,10,2,4,1
5,2,7,0,0,5,0,1,10,2,4,1
5,1,6,4,4,5,1,4,20,2,4,1
5,2,9.5,2,0,5,1,2,2,1,5,0
5,1,9.5,2,0,5,1,3,1,1,5,0
5,2,9.5,3,0,5,0,3,2,1,5,0
3,2,3,0,0,3,0,1,10,1,3,1
3,1,3,0,0,3,1,1,10,1,3,1
1,2,2,4,0,1,1,2,10,2,8,1
3,1,3,2,0,3,1,2,10,2,8,1
1,1,4,0,0,1,0,2,10,1,3,0
1,1,4,0,0,1,0,2,2,1,3,1
3,2,4,0,0,3,0,1,2,1,3,1
3,1,4,0,0,3,1,1,10,1,3,1
3,1,4,0,0,3,1,1,2,1,3,0
3,1,6,0,0,3,1,2,10,1,3,0
2,1,1,2,1,2,1,2,2,2,8,1
3,1,3,2,0,3,0,2,2,2,7,1
3,1,3,2,0,3,1,2,10,2,7,1
3,2,3,2,0,3,1,2,2,2,7,1
3,1,3,2,0,3,1,2,2,2,7,1
2,2,1,2,1,2,1,2,2,2,7,1
1,2,2,4,0,1,1,2,2,2,7,1
1,2,2,4,0,1,1,2,2,2,7,1
1,1,2,4,0,1,1,2,10,2,7,1
1,2,2,4,0,1,1,2,10,2,7,1
2,2,1,2,1,2,1,2,2,2,7,1
3,2,6,0,0,3,1,2,2,1,3,1
2,2,4,0,0,2,0,2,10,1,3,1
2,2,1,2,1,2,1,2,10,2,7,1
