Heading,Sub Heading,Vacancy Link,Experience Needed,Salary
Required Fullstack developer @ VIRTUSA,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-fullstack-developer-virtusa-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-3-to-6-years-260820004113?src=jobsearchDesk&sid=16015751009624871&xp=1&px=1,3-6 Yrs,"3,00,000 - 8,00,000 PA."
Job | Required Loan IQ consultant @ VIRTUSA -BLR,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-loan-iq-consultant-virtusa-blr-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-7-to-11-years-210820001805?src=jobsearchDesk&sid=16015751009624871&xp=2&px=1,7-11 Yrs,"5,00,000 - 15,00,000 PA."
Required Windows system administrator @ VIRTUSA,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-windows-system-administrator-virtusa-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-7-to-11-years-190820002585?src=jobsearchDesk&sid=16015751009624871&xp=3&px=1,7-11 Yrs,"5,00,000 - 15,00,000 PA."
Required IIB developer @ VIRTUSA,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-iib-developer-virtusa-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-7-to-11-years-190820002539?src=jobsearchDesk&sid=16015751009624871&xp=4&px=1,7-11 Yrs,"5,00,000 - 15,00,000 PA."
Required IOS Application developer @ VIRTUSA,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-ios-application-developer-virtusa-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-7-to-11-years-190820002434?src=jobsearchDesk&sid=16015751009624871&xp=5&px=1,7-11 Yrs,Not disclosed
Leadership Opportunities with Virtusa: Murex SME's,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-leadership-opportunities-with-virtusa-murex-sme-s-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-10-to-20-years-040920001607?src=jobsearchDesk&sid=16015751009624871&xp=6&px=1,10-20 Yrs,Not disclosed
Job | Required RHEL Admin @ VIRTUSA,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-rhel-admin-virtusa-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-6-to-10-years-030820000809?src=jobsearchDesk&sid=16015751009624871&xp=7&px=1,6-10 Yrs,"5,00,000 - 13,00,000 PA."
Full Stack .Net Tech Lead,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-full-stack-net-tech-lead-virtusa-consulting-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-5-to-8-years-210820003248?src=jobsearchDesk&sid=16015751009624871&xp=8&px=1,5-8 Yrs,Not disclosed
Required RSA Archer develoepr @ VIRTUSA,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-required-rsa-archer-develoepr-virtusa-virtusa-consulting-services-pvt-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-kolkata-8-to-11-years-090920005331?src=jobsearchDesk&sid=16015751009624871&xp=9&px=1,8-11 Yrs,"7,00,000 - 17,00,000 PA."
Beauty Therapist,Kaya Skin Clinic,https://www.naukri.com/job-listings-beauty-therapist-kaya-skin-clinic-chennai-pune-delhi-mumbai-bengaluru-bangalore-kolkata-3-to-5-years-220318500150?src=jobsearchDesk&sid=16015751009624871&xp=10&px=1,3-5 Yrs,Not disclosed
Genesys Developer,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-genesys-developer-virtusa-consulting-services-pvt-ltd-mumbai-bengaluru-bangalore-hyderabad-secunderabad-4-to-9-years-250820000978?src=jobsearchDesk&sid=16015751009624871&xp=11&px=1,4-9 Yrs,Not disclosed
Genesys Developer,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-genesys-developer-virtusa-consulting-services-pvt-ltd-mumbai-bengaluru-bangalore-hyderabad-secunderabad-5-to-9-years-020820000534?src=jobsearchDesk&sid=16015751009624871&xp=12&px=1,5-9 Yrs,Not disclosed
We are Hiring Btech/ MBA Freshers :: SCM Operations Team,DELHIVERY PRIVATE LIMITED,https://www.naukri.com/job-listings-we-are-hiring-btech-mba-freshers-scm-operations-team-delhivery-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-0-to-0-years-160920005803?src=jobsearchDesk&sid=16015751009624871&xp=13&px=1,0-0 Yrs,Not disclosed
Hiring Node.JS professionals @ Pune / Mumbai / Hyd.,Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-hiring-node-js-professionals-pune-mumbai-hyd-virtusa-consulting-services-pvt-ltd-pune-mumbai-hyderabad-secunderabad-5-to-8-years-160920004514?src=jobsearchDesk&sid=16015751009624871&xp=14&px=1,5-8 Yrs,Not disclosed
Store Visual Merchandiser For ZARA Store | Surat,Inditex,https://www.naukri.com/job-listings-store-visual-merchandiser-for-zara-store-surat-inditex-pune-mumbai-ahmedabad-surat-0-to-2-years-110820000594?src=jobsearchDesk&sid=16015751009624871&xp=15&px=1,0-2 Yrs,"2,00,000 - 3,00,000 PA."
Embedded Solution Architect - Medical devices,Mphasis Limited,https://www.naukri.com/job-listings-embedded-solution-architect-medical-devices-mphasis-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-noida-8-to-13-years-310820002031?src=jobsearchDesk&sid=16015751009624871&xp=16&px=1,8-13 Yrs,Not disclosed
Solution Architect Embedded Engineering - Consumer Electronics,Mphasis Limited,https://www.naukri.com/job-listings-solution-architect-embedded-engineering-consumer-electronics-mphasis-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-noida-8-to-13-years-310820001961?src=jobsearchDesk&sid=16015751009624871&xp=17&px=1,8-13 Yrs,Not disclosed
Android Developer,Axis Bank Limited,https://www.naukri.com/job-listings-android-developer-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-visakhapatnam-vizag-kolkata-vijayawada-4-to-9-years-300920004097?src=jobsearchDesk&sid=16015751009624871&xp=18&px=1,4-9 Yrs,Not disclosed
UIM Consultant - 4 headcounts,Oracle India Pvt. Ltd.,https://www.naukri.com/job-listings-uim-consultant-4-headcounts-oracle-india-pvt-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-2-to-7-years-300920002271?src=jobsearchDesk&sid=16015751009624871&xp=19&px=1,2-7 Yrs,Not disclosed
immediate openings For WMS Consultant - Bangalore !!,Zensar Technologies Limited,https://www.naukri.com/job-listings-immediate-openings-for-wms-consultant-bangalore-zensar-technologies-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-5-to-10-years-300920001036?src=jobsearchDesk&sid=16015751009624871&xp=20&px=1,5-10 Yrs,"7,50,000 - 15,00,000 PA."
HCL Hiring-RPA UI PATH Solution Architect– Chennai/Hydredad/Bangalore,HCL Technologies Limited,https://www.naukri.com/job-listings-hcl-hiring-rpa-ui-path-solution-architect-chennai-hydredad-bangalore-hcl-technologies-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-9-to-14-years-240920003371?src=jobsearchDesk&sid=16015751009624871_1&xp=1&px=2,9-14 Yrs,"7,00,000 - 15,00,000 PA."
Adobe Target Developer,Tech Mahindra Ltd.,https://www.naukri.com/job-listings-adobe-target-developer-tech-mahindra-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-5-to-10-years-230920004663?src=jobsearchDesk&sid=16015751009624871_1&xp=2&px=2,5-10 Yrs,"6,00,000 - 16,00,000 PA."
MAC OS Application development with C++,Tech Mahindra Ltd.,https://www.naukri.com/job-listings-mac-os-application-development-with-c-tech-mahindra-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-5-to-10-years-230920004220?src=jobsearchDesk&sid=16015751009624871_1&xp=3&px=2,5-10 Yrs,"8,00,000 - 18,00,000 PA."
BMC Remedy Technical Analyst,BMC Software India Pvt. Ltd,https://www.naukri.com/job-listings-bmc-remedy-technical-analyst-bmc-software-india-pvt-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-6-to-11-years-230920004097?src=jobsearchDesk&sid=16015751009624871_1&xp=4&px=2,6-11 Yrs,Not disclosed
Immediate Opening For Ipran Engineer,Huawei Technologies India Pvt Ltd,https://www.naukri.com/job-listings-immediate-opening-for-ipran-engineer-huawei-technologies-india-pvt-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-5-to-10-years-220920003199?src=jobsearchDesk&sid=16015751009624871_1&xp=5&px=2,5-10 Yrs,"3,00,000 - 8,00,000 PA."
